AcademicGroup,AcademicOrganization,Subject,Catalog Number,Section,Class Number,Title,Instructor,Enrollment Capacity,Total Enrolled,Seats Available,Enrollment Status,Component,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Start Time,End Time,Location,Waitlist Cap,Waitlist Total
,,BIO, 599,6,12945,Graduate Thesis,"Bromage,Erin",1,1,0,Closed,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,7,12946,Graduate Thesis,"O'Connor,Nancy J.",1,0,1,Open,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,9,12947,Graduate Thesis,"Kavanagh,Kathryn D",1,0,1,Open,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,10,12948,Graduate Thesis,"Oliveira,Kenneth",1,0,1,Open,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,12,12949,Graduate Thesis,"Moisander,Pia H",1,1,0,Closed,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,13,15489,Graduate Thesis,"Drew,Robert Edward",2,2,0,Closed,Thesis Research,,,,,,,,,,,0,0
,,BIO, 599,14,12950,Graduate Thesis,"Connor,Richard C",2,1,1,Open,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,15,15159,Graduate Thesis,"Hable,Whitney E",1,1,0,Closed,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,16,15234,Graduate Thesis,"Turner,Jefferson T",1,1,0,Closed,Thesis Research,,,,,,,,,,,1,0
,,BIO, 599,17,15514,Graduate Thesis,"O'Connor,Nancy J.",1,1,0,Closed,Thesis Research,,,,,,,,,,,0,0
,,BIO, 599,18,15558,Graduate Thesis,"Silby,Mark W",1,1,0,Closed,Thesis Research,,,,,,,,,,,0,0
,,BIO, 599,19,15870,Graduate Thesis,"O'Connor,Nancy J.",1,1,0,Closed,Thesis Research,,,,,,,,,,,0,0
,,BIO, 599,20,16133,Graduate Thesis,"Bernal,Diego",1,1,0,Closed,Thesis Research,,,,,,,,,,,0,0
,,BIO, 599,21,16560,Graduate Thesis,"Oliveira,Kenneth",2,2,0,Closed,Thesis Research,,,,,,,,,,,0,0
,,BIO, 599,22,16624,Graduate Thesis,"Kavanagh,Kathryn D",1,1,0,Closed,Thesis Research,,,,,,,,,,,0,0
,,BIO, 599,23,16742,Graduate Thesis,"Connor,Richard C",1,1,0,Closed,Thesis Research,,,,,,,,,,,0,0
,,BIO, 603,1,12951,Pre Dissertation Rsch,"Connor,Richard C",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 603,2,12952,Pre Dissertation Rsch,"Moisander,Pia H",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 603,3,15258,Pre Dissertation Rsch,"Connor,Richard C",1,1,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 603,4,15476,Pre Dissertation Rsch,"Moisander,Pia H",1,1,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 701,1,12953,Doctoral Dissertatn Rsch,"Rajaniemi,Tara K",1,0,1,Open,Research,,,,,,,,,,,1,0
,,BIO, 701,2,12954,Doctoral Dissertatn Rsch,"Bernal,Diego",1,1,0,Closed,Research,,,,,,,,,,,1,0
,,BIO, 701,3,15261,Doctoral Dissertatn Rsch,"Rajaniemi,Tara K",1,1,0,Closed,Research,,,,,,,,,,,0,0
,,BIO, 701,4,15574,Doctoral Dissertatn Rsch,"Connor,Richard C",1,1,0,Closed,Research,,,,,,,,,,,0,0
,Chemistry,CHM, 100,1,12626,Prep College Chemistry,"Su,Timothy C",16,15,1,Open,Lecture,Y,,Y,,Y,,,10:00 AM,10:50 AM,SENG-109,10,0
,,CHM, 100,01L1,12627,Prep College Chemistry,"Su,Timothy C",16,15,1,Open,Laboratory,Y,,,,,,,1:00 PM,3:30 PM,SENG-304,10,0
,,CHM, 100,01L1,12627,Prep College Chemistry,"Su,Timothy C",16,15,1,Open,Laboratory,Y,,,,,,,1:00 PM,3:30 PM,SENG-304,10,0
,,CHM, 101,1,12628,General Chemistry I,"Dao,Christine Anh",140,133,7,Open,Lecture,Y,,Y,,Y,,,8:00 AM,8:50 AM,LIB-206,10,0
,,CHM, 101,01R1,12629,General Chemistry I,"Dao,Christine Anh",35,35,0,Closed,Recitation,Y,,,,,,,1:00 PM,1:50 PM,SENG-305,10,0
,,CHM, 101,01R2,12630,General Chemistry I,"Dao,Christine Anh",35,35,0,Closed,Recitation,Y,,,,,,,2:00 PM,2:50 PM,SENG-305,10,0
,,CHM, 101,01R3,12631,General Chemistry I,"Dao,Christine Anh",35,35,0,Closed,Recitation,Y,,,,,,,3:00 PM,3:50 PM,SENG-305,10,0
,,CHM, 101,01R4,12632,General Chemistry I,"Dao,Christine Anh",35,28,7,Open,Recitation,Y,,,,,,,4:00 PM,4:50 PM,SENG-305,10,0
,,CHM, 130,1,12633,Chemistry and the Envirn,"Bala,Smita N",125,105,20,Open,Lecture,Y,,Y,,Y,,,1:00 PM,1:50 PM,DION-116,15,0
,,CHM, 130,2,12634,Chemistry and the Envirn,"Bala,Smita N",125,74,51,Open,Lecture,Y,,Y,,Y,,,3:00 PM,3:50 PM,DION-115,15,0
,,CHM, 151,1,12636,Princ Modern Chemistry I,"Wei,Yibin",103,82,21,Open,Lecture,Y,,Y,,Y,,,8:00 AM,8:50 AM,LIB-205,15,0
