Academic Group,Academic Organization,Subject,Catalog Number,Section,Session,Class Number,Title,CLASS_INSTRUCTOR_NAME,Instructor Emplid,Room Capacity,Room Capacity Request,Enrollment Capacity,Total Enrolled,Seats Available,Enrollment Status,Component,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Start Time,End Time,Location,Minimum Units,Maximum Units,Waitlist Cap,Waitlist Total
,,BIO, 270,1,1,15513,Biology Teaching Experience,"O'Connor,Nancy J.",287124,,1,1,1,0,Closed,Practicum,,,,,,,,,,,3,3,0,0
,,BIO, 270,2,1,16598,Biology Teaching Experience,"Oliveira,Kenneth",287083,,2,2,2,0,Closed,Practicum,,,,,,,,,,,3,3,0,0
,,BIO, 310,1,1,12902,Infection and Immunology,"Bromage,Erin",969601,48,42,42,43,-1,Closed,Lecture,Y,,Y,,Y,,,1:00 PM,1:50 PM,SENG-114,3,3,15,0
,,BIO, 316,1,1,12903,Descript Oceanography,"Petitpas,Christian M",288389,56,40,40,35,5,Open,Lecture,Y,,Y,,Y,,,9:00 AM,9:50 AM,LARTS-116,3,3,15,0
,,BIO, 317,1,1,12904,Bio Of Invertebrates,"O'Connor,Nancy J.",287124,40,20,20,20,0,Closed,Lecture,Y,,Y,,Y,,,10:00 AM,10:50 AM,SENG-210,4,4,15,0
,,BIO, 317,01L1,1,12905,Bio Of Invertebrates,"O'Connor,Nancy J.",287124,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-318,4,4,15,0
,,BIO, 321,1,1,12906,General Microbiology,"Silby,Mark W",1207686,40,40,40,40,0,Closed,Lecture,,Y,,Y,,,,12:30 PM,1:45 PM,SENG-210,4,4,15,0
,,BIO, 321,01L1,1,12907,General Microbiology,"Silby,Mark W",1207686,20,20,20,20,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-330,4,4,15,0
,,BIO, 321,01L2,1,12908,General Microbiology,"Moisander,Pia H",1207678,20,20,20,20,0,Closed,Laboratory,,,Y,,,,,2:00 PM,4:50 PM,SENG-330,4,4,15,0
,,BIO, 401,1,1,12909,Genomics,"Drew,Robert Edward",1136093,25,15,15,8,7,Open,Lecture,,Y,,Y,,,,11:00 AM,12:15 PM,SENG-108,4,4,10,0
,,BIO, 401,1,1,12909,Genomics,"Drew,Robert Edward",1136093,25,15,15,8,7,Open,Lecture,,Y,,,,,,2:00 PM,4:50 PM,SENG-336,4,4,10,0
,,BIO, 411,2,1,12912,Proseminar,"Bernal,Diego",783073,48,20,20,16,4,Open,Seminar,,Y,,Y,,,,12:30 PM,1:45 PM,LARTS-209,3,3,15,0
,,BIO, 413,1,1,12914,Biology Of Fishes,"Oliveira,Kenneth",287083,20,15,15,14,1,Open,Lecture,,Y,,Y,,,,9:30 AM,10:45 AM,SENG-318,4,4,10,0
,,BIO, 413,01L1,1,12915,Biology Of Fishes,"Oliveira,Kenneth",287083,20,15,15,14,1,Open,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-318,4,4,10,0
,,BIO, 414,1,1,12918,Biology Marine Mammals,"Connor,Richard C",296983,30,20,20,21,-1,Closed,Lecture,,Y,,Y,,,,8:00 AM,9:15 AM,SENG-109,3,3,15,0
,,BIO, 415,1,1,12920,Comp Vertebrate Anatomy,"Kavanagh,Kathryn D",1133069,35,20,20,20,0,Closed,Lecture,,Y,,Y,,,,11:00 AM,12:15 PM,SENG-215,4,4,15,0
,,BIO, 415,01L1,1,12921,Comp Vertebrate Anatomy,"Kavanagh,Kathryn D",1133069,20,20,20,20,0,Closed,Laboratory,,Y,,,,,,2:00 PM,4:50 PM,SENG-318,4,4,15,0
,,BIO, 427,1,1,12922,Molecular Biology,"McCliment,Elizabeth A",1389560,66,40,40,18,22,Open,Lecture,,Y,,Y,,,,8:00 AM,9:15 AM,SENG-115,3,3,15,0
,,BIO, 430,1,1,12924,Intro Biological Stat,"Bucci,Vanni",1446641,40,30,30,30,0,Closed,Lecture,Y,,Y,,Y,,,11:00 AM,11:50 AM,SENG-210,4,4,15,0
,,BIO, 430,01L1,1,12925,Intro Biological Stat,"Bucci,Vanni",1446641,20,15,15,15,0,Closed,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-336,4,4,10,0
,,BIO, 430,01L2,1,13397,Intro Biological Stat,"Rajaniemi,Tara K",703882,20,15,15,15,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-336,4,4,10,0
,,BIO, 440,01H,1,12928,Research Project,"Silby,Mark W",1207686,,1,1,0,1,Open,Research,,,,,,,,,,,1,3,1,0
,,BIO, 440,2,1,12929,Research Project,"Drew,Robert Edward",1136093,,5,5,0,5,Open,Research,,,,,,,,,,,1,3,5,0
,,BIO, 440,3,1,12930,Research Project,"O'Connor,Nancy J.",287124,,1,1,0,1,Open,Research,,,,,,,,,,,1,3,1,0
,,BIO, 440,4,1,12931,Research Project,"Moisander,Pia H",1207678,,1,1,0,1,Open,Research,,,,,,,,,,,1,3,1,0
,,BIO, 440,5,1,12932,Research Project,"Kavanagh,Kathryn D",1133069,,1,1,0,1,Open,Research,,,,,,,,,,,1,3,1,0
,,BIO, 440,6,1,12933,Research Project,"Oliveira,Kenneth",287083,,1,1,0,1,Open,Research,,,,,,,,,,,1,3,1,0
,,BIO, 440,7,1,15905,Research Project,"Kavanagh,Kathryn D",1133069,,1,1,1,0,Closed,Research,,,,,,,,,,,1,3,0,0
,,BIO, 440,8,1,12934,Research Project,"Hable,Whitney E",703883,,1,1,0,1,Open,Research,,,,,,,,,,,1,3,1,0
,,BIO, 440,9,1,16769,Research Project,"Koop,Jennifer A",1586410,,1,1,1,0,Closed,Research,,,,,,,,,,,1,3,0,0
,,BIO, 440,10,1,12935,Research Project,"Bromage,Erin",969601,,1,1,1,0,Closed,Research,,,,,,,,,,,1,3,1,0
,,BIO, 440,11,1,15659,Research Project,"Kavanagh,Kathryn D",1133069,,1,1,1,0,Closed,Research,,,,,,,,,,,1,3,0,0
,,BIO, 440,12,1,16670,Research Project,"Rajaniemi,Tara K",703882,,1,1,2,-1,Closed,Research,,,,,,,,,,,1,3,0,0
,,BIO, 440,13,1,16841,Research Project,"Hable,Whitney E",703883,,1,1,0,1,Open,Research,,,,,,,,,,,1,3,0,0
,,BIO, 441,1,1,12936,Research Project,"Drew,Robert Edward",1136093,,5,5,1,4,Open,Research,,,,,,,,,,,3,3,5,0
,,BIO, 441,02H,1,15492,Research Project,"Drew,Robert Edward",1136093,,1,1,1,0,Closed,Research,,,,,,,,,,,3,3,0,0
,,BIO, 441,3,1,15660,Research Project,"Bernal,Diego",783073,,1,1,1,0,Closed,Research,,,,,,,,,,,3,3,0,0
,,BIO, 441,04H,1,16612,Research Project,"Oliveira,Kenneth",287083,,2,2,2,0,Closed,Research,,,,,,,,,,,3,3,0,0
,,BIO, 499,1,1,12938,Capstone Research,"Rajaniemi,Tara K",703882,20,15,15,5,10,Open,Seminar,Y,,,,,,,2:00 PM,4:50 PM,SENG-336,3,3,10,0
,,BIO, 499,2,1,12939,Capstone Research,"O'Connor,Nancy J.",287124,20,15,15,15,0,Closed,Seminar,Y,,,,,,,3:00 PM,5:45 PM,SENG-318,3,3,10,0
,,BIO, 501,1,1,12910,Genomics,"Drew,Robert Edward",1136093,25,5,5,3,2,Open,Lecture,,Y,,Y,,,,11:00 AM,12:15 PM,SENG-108,4,4,5,0
,,BIO, 501,1,1,12910,Genomics,"Drew,Robert Edward",1136093,25,5,5,3,2,Open,Lecture,,Y,,,,,,2:00 PM,4:50 PM,SENG-336,4,4,5,0
,,BIO, 511,1,1,16551,Graduate Seminar,"Kavanagh,Kathryn D",1133069,,2,2,2,0,Closed,Seminar,,,,,,,,,,,4,4,0,0
,,BIO, 513,1,1,12916,Biology Of Fishes,"Oliveira,Kenneth",287083,20,5,5,5,0,Closed,Lecture,,Y,,Y,,,,9:30 AM,10:45 AM,SENG-318,4,4,5,0
,,BIO, 513,01L1,1,12917,Biology Of Fishes,"Oliveira,Kenneth",287083,20,5,5,5,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-318,4,4,5,0
,,BIO, 514,1,1,12919,Biology Marine Mammals,"Connor,Richard C",296983,30,5,5,1,4,Open,Lecture,,Y,,Y,,,,8:00 AM,9:15 AM,SENG-109,3,3,5,0
,,BIO, 527,1,1,12923,Molecular Biology,"McCliment,Elizabeth A",1389560,66,5,5,2,3,Open,Lecture,,Y,,Y,,,,8:00 AM,9:15 AM,SENG-115,3,3,5,0
,,BIO, 530,1,1,12926,Intro Biological Stat,"Bucci,Vanni",1446641,40,10,10,11,-1,Closed,Lecture,Y,,Y,,Y,,,11:00 AM,11:50 AM,SENG-210,4,4,10,0
,,BIO, 530,01L1,1,12927,Intro Biological Stat,"Bucci,Vanni",1446641,20,5,5,6,-1,Closed,Laboratory,,,,,Y,,,2:00 PM,4:50 PM,SENG-336,4,4,5,0
,,BIO, 530,01L2,1,13539,Intro Biological Stat,"Rajaniemi,Tara K",703882,20,5,5,5,0,Closed,Laboratory,,,,Y,,,,2:00 PM,4:50 PM,SENG-336,4,4,5,0
,,BIO, 593,1,1,12940,Graduate Research,"O'Connor,Nancy J.",287124,,1,1,0,1,Open,Thesis Research,,,,,,,,,,,3,3,1,0
,,BIO, 595,1,1,15902,Independent Study,"Silby,Mark W",1207686,,1,1,1,0,Closed,Independent Study,,,,,,,,,,,1,1,0,0
,,BIO, 599,1,1,12941,Graduate Thesis,"Turner,Jefferson T",287080,,1,1,0,1,Open,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,2,1,12942,Graduate Thesis,"Hable,Whitney E",703883,,1,1,0,1,Open,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,3,1,12943,Graduate Thesis,"Drew,Robert Edward",1136093,,1,1,0,1,Open,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,4,1,12944,Graduate Thesis,"Silby,Mark W",1207686,,1,1,0,1,Open,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,6,1,12945,Graduate Thesis,"Bromage,Erin",969601,,1,1,1,0,Closed,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,7,1,12946,Graduate Thesis,"O'Connor,Nancy J.",287124,,1,1,0,1,Open,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,9,1,12947,Graduate Thesis,"Kavanagh,Kathryn D",1133069,,1,1,0,1,Open,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,10,1,12948,Graduate Thesis,"Oliveira,Kenneth",287083,,1,1,0,1,Open,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,12,1,12949,Graduate Thesis,"Moisander,Pia H",1207678,,1,1,1,0,Closed,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,13,1,15489,Graduate Thesis,"Drew,Robert Edward",1136093,,2,2,2,0,Closed,Thesis Research,,,,,,,,,,,0,7,0,0
,,BIO, 599,14,1,12950,Graduate Thesis,"Connor,Richard C",296983,,2,2,1,1,Open,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,15,1,15159,Graduate Thesis,"Hable,Whitney E",703883,,1,1,1,0,Closed,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,16,1,15234,Graduate Thesis,"Turner,Jefferson T",287080,,1,1,1,0,Closed,Thesis Research,,,,,,,,,,,0,7,1,0
,,BIO, 599,17,1,15514,Graduate Thesis,"O'Connor,Nancy J.",287124,,1,1,1,0,Closed,Thesis Research,,,,,,,,,,,0,7,0,0
,,BIO, 599,18,1,15558,Graduate Thesis,"Silby,Mark W",1207686,,1,1,1,0,Closed,Thesis Research,,,,,,,,,,,0,7,0,0
